Name,Num Worth in Billions,Age,Gender,Source,Country of Citizenship
Terry Gou,$6.40 ,65,Male,electronics,Taiwan
Eddie & Sol Zakay,$1.90 ,65,Male,real estate,United Kingdom
Jasminder Singh,$1.40 ,65,Male,Hotels,United Kingdom
Trevor Rees-Jones,$5.20 ,65,Male,oil & gas,United States
David Shaw,$5 ,65,Male,hedge funds,United States
Leon Black,$5 ,65,Male,private equity,United States
John Doerr,$4.90 ,65,Male,venture capital,United States
Steven Rales,$4.60 ,65,Male,manufacturing,United States
Terrence Pegula,$4.10 ,65,Male,natural gas,United States
"Austen Cargill, II.",$3.70 ,65,Male,Cargill,United States
Ken Fisher,$3.50 ,65,Male,money management,United States
Bob Parsons,$2.30 ,65,Male,web hosting,United States
Jeffrey Lurie,$1.80 ,65,Male,Philadelphia Eagles,United States
"Jim Justice, II.",$1.60 ,65,Male,coal,United States
Hamilton James,$1.50 ,65,Male,investments,United States
John Martin,$1.10 ,65,Male,pharmaceuticals,United States
Howard Jenkins,$1.10 ,65,Male,Publix,United States
Clifford Illig,$1 ,65,Male,health care,United States
Kerr Neilson,$1.80 ,66,Male,investment,Australia
Marcel Herrmann Telles,$14.80 ,66,Male,beer,Brazil
Alexandre Grendene Bartelle,$2 ,66,Male,shoes,Brazil
Miguel Krigsner,$1.90 ,66,Male,cosmetics,Brazil
Rubens Ometto Silveira Mello,$1.20 ,66,Male,"sugar, ethanol",Brazil
Serge Godin,$1.40 ,66,Male,Information Technology,Canada
V. Prem Watsa,$1.10 ,66,Male,"insurance, investments",Canada
Sebastian Pinera,$2.50 ,66,Male,investments,Chile
Alvaro Saieh Bendeck,$2.40 ,66,Male,banking,Chile
Sze Man Bok,$2.20 ,66,Male,hygiene products,China
Sun Shoukuan,$1.50 ,66,Male,metals. coal,China
Wu Yiling,$1.40 ,66,Male,pharmaceuticals,China
Zhang Desheng,$1.30 ,66,Male,manufacturing,China
Zhang Wanzhen,$1.20 ,66,Male,advanced ceramics,China
Laurent Burelle,$1.30 ,66,Male,automotive systems,France
Andreas Struengmann,$3.20 ,66,Male,pharmaceuticals,Germany
Thomas Struengmann,$3.20 ,66,Male,pharmaceuticals,Germany
Thomas Bruch,$1.80 ,66,Male,food retailing,Germany
Hui Wing Mau,$4.30 ,66,Male,real estate,Hong Kong
Michael Ying,$2.40 ,66,Male,retail,Hong Kong
Allan Wong,$1.20 ,66,Male,electronics,Hong Kong
Lakshmi Mittal,$11.90 ,66,Male,steel,India
Niranjan Hiranandani,$1.10 ,66,Male,real estate,India
Sukanto Tanoto,$1.90 ,66,Male,diversified,Indonesia
Peter Sondakh,$1.90 ,66,Male,investments,Indonesia
Husain Djojonegoro,$1.60 ,66,Male,consumer goods,Indonesia
Djoko Susanto,$1.30 ,66,Male,retail,Indonesia
Dermot Desmond,$2 ,66,Male,finance,Ireland
Eyal Ofer,$9.20 ,66,Male,"real estate, shipping",Israel
Manuel Villar,$1.70 ,66,Male,Real estate,Philippines
Vagit Alekperov,$12.30 ,66,Male,oil,Russia
Kuok Khoon Hong,$2.50 ,66,Male,palm oil,Singapore
Johann Rupert,$5.30 ,66,Male,luxury goods,South Africa
Juan Roig,$5.80 ,66,Male,supermarkets,Spain
Hortensia Herrero,$2.90 ,66,Male,supermarkets,Spain
Samuel Yin,$3 ,66,Male,diversified,Taiwan
Lin Ming-Hsiung,$1.40 ,66,Male,retail,Taiwan
Tsai Ming-Kai,$1.10 ,66,Male,semiconductors,Taiwan
Thomas Wu,$1 ,66,Male,finance,Taiwan
Keeree Kanjanapas,$1.40 ,66,Male,transportation,Thailand
Bulent Eczacibasi,$1.60 ,66,Male,"pharmaceuticals, diversified",Turkey
Nihat Ozdemir,$1.40 ,66,Male,diversified,Turkey
Richard Branson,$5.10 ,66,Male,Virgin,United Kingdom
Shahid Khan,$6.90 ,66,Male,auto parts,United States
Thomas Pritzker,$3.10 ,66,Male,"hotels, investments",United States
Jorge Perez,$2.80 ,66,Male,condos,United States
E. Joe Shoen,$2.30 ,66,Male,U-Haul,United States
Neal Patterson,$1.60 ,66,Male,health IT,United States
Timothy Headington,$1.50 ,66,Male,"oil & gas, investments",United States
Rodney Sacks,$1.40 ,66,Male,energy drinks,United States
John MacMillan,$1.20 ,66,Male,Cargill,United States
Alain Bouchard,$3.30 ,67,Male,retail,Canada
Wang Xicheng & family,$3.40 ,67,Male,tires,China
An Kang,$1.80 ,67,Male,pharmaceuticals,China
Li Denghai,$1.20 ,67,Male,seed production,China
Bernard Arnault,$34.60 ,67,Male,LVMH,France
Klaus Hellmann,$1.50 ,67,Male,logistics,Germany
Vincent Lo,$2.30 ,67,Male,real estate,Hong Kong
William Fung,$1.50 ,67,Male,sourcing,Hong Kong
Jamshyd Godrej,$2.50 ,67,Male,consumer goods,India
Baba Kalyani,$2.20 ,67,Male,engineering,India
Miuccia Prada,$2.50 ,67,Male,Prada,Italy
Tadashi Yanai,$17 ,67,Male,retail,Japan
Takao Yasuda,$1.50 ,67,Male,retail,Japan
P.N.C. Menon,$1.60 ,67,Male,real estate,Oman
Viktor Rashnikov,$5.90 ,67,Male,steel,Russia
Vladimir Yevtushenkov,$3.10 ,67,Male,telecom,Russia
Pyotr Kondrashev,$1.40 ,67,Male,fertilizers,Russia
Leonid Simanovsky,$1.10 ,67,Male,investments,Russia
Sam Goi,$1.80 ,67,Male,frozen foods,Singapore
Hur Young-In,$1.60 ,67,Male,bakeries/fast-food outlets,South Korea
Stefan Olsson,$2.70 ,67,Male,diversified,Sweden
Barry Lam,$3.50 ,67,Male,computers,Taiwan
Thaksin Shinawatra,$1.70 ,67,Male,investments,Thailand
William Heinecke,$1.70 ,67,Male,hotels,Thailand
Surin Upatkoon,$1.10 ,67,Male,telecoms/lotteries/insurance,Thailand
Sezai Bacaksiz,$1.30 ,67,Male,diversified,Turkey
Raghuvinder Kataria,$1.10 ,67,Male,diversified,United Kingdom
Ray Dalio,$15.90 ,67,Male,hedge funds,United States
Micky Arison,$7.20 ,67,Male,Carnival Cruises,United States
James Jannard,$4 ,67,Male,sunglasses,United States
"James Cargill, II.",$3.70 ,67,Male,Cargill,United States
Roger Wang,$3.40 ,67,Male,retail,United States
Min Kao,$2.70 ,67,Male,navigation equipment,United States
"William Conway, Jr.",$2.50 ,67,Male,private equity,United States
David Rubenstein,$2.40 ,67,Male,private equity,United States
John Henry,$2.40 ,67,Male,sports,United States
Kenneth Feld,$1.80 ,67,Male,"circus, live entertainment",United States
Phillip Ragon,$1.80 ,67,Male,health IT,United States
Craig McCaw,$1.70 ,67,Male,telecom,United States
Timothy Boyle,$1.70 ,67,Male,Columbia Sportswear,United States
Gary Michelson,$1.60 ,67,Male,medical patents,United States
Carlos Alberto Sicupira,$13.10 ,68,Male,beer,Brazil
Roberto Irineu Marinho,$4.90 ,68,Male,media,Brazil
Roberto Angelini Rossi,$1.20 ,68,Male,"forestry, mining",Chile
Liu Yongxing,$5 ,68,Male,agribusiness,China
Wu Xushun,$1.40 ,68,Male,"internet, auto parts",China
Kjeld Kirk Kristiansen,$13.30 ,68,Male,Lego,Denmark
Niels Peter Louis-Hansen,$4 ,68,Male,medical devices,Denmark
Lars Larsen,$3.60 ,68,Male,retail,Denmark
Mohamed Mansour,$2.50 ,68,Male,diversified,Egypt
Alain Wertheimer,$11.80 ,68,Male,Chanel,France
Alain Taravella,$1.50 ,68,Male,real estate,France
Mohed Altrad,$1.10 ,68,Male,"scaffolding, cement mixers",France
Michael Stoschek,$5.10 ,68,Male,autoparts,Germany
Otto Happel,$2.80 ,68,Male,engineering,Germany
Christian Oetker,$2.20 ,68,Male,consumer goods,Germany
Kurt Krieger,$2.20 ,68,Male,furniture retailing,Germany
Francis Choi,$5.70 ,68,Male,real estate,Hong Kong
Law Kar Po,$5.30 ,68,Male,real estate,Hong Kong
Yitzhak Tshuva,$3.40 ,68,Male,real estate,Israel
Kuan Kam Hon,$1 ,68,Male,synthetic gloves,Malaysia
Carlos Hank Rhon,$2 ,68,Male,banking,Mexico
Rufino Vigil Gonzalez,$1.40 ,68,Male,steel,Mexico
Faisal Bin Qassim Al Thani,$2.30 ,68,Male,"hotels, diversified",Qatar
Chua Thian Poh,$1.20 ,68,Male,real estate,Singapore
Oei Hong Leong,$1.10 ,68,Male,investments,Singapore
Stefan Persson,$20.50 ,68,Male,H&M,Sweden
Stephan Schmidheiny,$3 ,68,Male,investments,Switzerland
Mehmet Nazif Gunal,$1.20 ,68,Male,"tourism, construction",Turkey
Murat Vargi,$1.10 ,68,Male,telecom,Turkey
Bill Adderley & family,$1.60 ,68,Male,home furnishings,United Kingdom
Jim Walton,$35 ,68,Male,Wal-Mart,United States
Jim Kennedy,$10.70 ,68,Male,media,United States
Israel Englander,$5 ,68,Male,hedge funds,United States
John Sall,$4.20 ,68,Male,software,United States
John Morris,$3.90 ,68,Male,sporting goods retail,United States
John Catsimatidis,$3.30 ,68,Male,"oil, real estate",United States
Robert Bass,$2.80 ,68,Male,"oil, investments",United States
Charles Zegar,$1.80 ,68,Male,Bloomberg LP,United States
Charles Simonyi,$1.80 ,68,Male,Microsoft,United States
Kenny Troutt,$1.40 ,68,Male,telecommunications,United States
Bill Alfond,$1.20 ,68,Male,shoes,United States
J. Tomilson Hill,$1.20 ,68,Male,investments,United States
Johann Graf,$7.70 ,69,Male,gambling,Austria
Reinold Geiger,$1.40 ,69,Male,beauty products,Austria
Jose Luis Cutrale,$2.50 ,69,Male,orange juice,Brazil
Zhang Shiping,$5.30 ,69,Male,aluminum products,China
Song Zuowen,$2.60 ,69,Male,"aluminum, diversified",China
Huang Zhenda,$2.10 ,69,Male,construction,China
Edouard Carmignac,$1.50 ,69,Male,asset management,France
Jurgen Blickle,$2.30 ,69,Male,auto parts,Germany
Rainer Blickle,$2 ,69,Male,auto parts,Germany
Hubertus Benteler,$1.80 ,69,Male,auto parts,Germany
Spiro Latsis,$2 ,69,Male,"banking, shipping",Greece
T.S. Kalyanaraman,$1.20 ,69,Male,jewelry,India
Chirayu Amin,$1.10 ,69,Male,pharmaceuticals,India
David Nahmad,$1.90 ,69,Male,art,Monaco
Wim Van Der Leegte,$1.50 ,69,Male,manufacturing,Netherlands
Florentino Perez,$1.70 ,69,Male,construction,Spain
Fernando Roig,$1.40 ,69,Male,supermarkets,Spain
Melker Schorling,$7.40 ,69,Male,investments,Sweden
Dan Olsson,$5.70 ,69,Male,diversified,Sweden
Willy Michel,$1.90 ,69,Male,medical devices,Switzerland
Richard Chang,$1 ,69,Male,"real estate, electronics",Taiwan
Wichai Thongtang,$1.60 ,69,Male,investments,Thailand
Mehmet Rustu Basaran,$1.20 ,69,Male,"bank, gas",Turkey
James Dyson,$4.90 ,69,Male,vacuums,United Kingdom
Clive Calder,$4.50 ,69,Male,record label,United Kingdom
Peter Hargreaves,$3.10 ,69,Male,financial services,United Kingdom
Cameron Mackintosh,$1.10 ,69,Male,Musical Theater,United Kingdom
Stephen Schwarzman,$10.20 ,69,Male,investments,United States
Stanley Kroenke,$7.40 ,69,Male,"sports, real estate",United States
Steven Spielberg,$3.50 ,69,Male,Movies,United States
"Edward DeBartolo, Jr.",$3.10 ,69,Male,shopping centers,United States
Romesh T. Wadhwani,$3 ,69,Male,software,United States
Jay Paul,$2.30 ,69,Male,real estate,United States
Richard Hayne,$1.50 ,69,Male,Urban Outfitters,United States
Fernando Roberto Moreira Salles,$3.40 ,70,Male,"banking, minerals",Brazil
Jayme Garfinkel,$1.40 ,70,Male,insurance,Brazil
K. Rai Sahi,$1.10 ,70,Male,real estate,Canada
Eliodoro Matte,$2.10 ,70,Male,paper,Chile
Julio Ponce,$2.10 ,70,Male,fertilizer,Chile
Zong Qinghou,$6.10 ,70,Male,beverages,China
Shen Wenrong,$1.70 ,70,Male,steel production,China
Li Fucheng,$1.10 ,70,Male,agribusiness,China
Heikki Kyostila,$2.80 ,70,Male,dental products,Finland
Louis Le Duff,$2.60 ,70,Male,bakeries,France
Dieter Schnabel,$2.90 ,70,Male,chemicals,Germany
Friedhelm Loh,$2.50 ,70,Male,manufacturing,Germany
Dirk Rossmann,$2.20 ,70,Male,drugstore chain,Germany
Lutz Mario Helmig,$1.50 ,70,Male,medical facilities,Germany
Peter Woo,$9.70 ,70,Male,real estate,Hong Kong
Silas Chou,$2.70 ,70,Male,apparel,Hong Kong
Cho Tak Wong,$1.70 ,70,Male,auto parts,Hong Kong
N.R. Narayana Murthy,$1.90 ,70,Male,software services,India
Radhe Shyam Goenka,$1.50 ,70,Male,consumer goods,India
Patrizio Bertelli,$2.50 ,70,Male,luxury goods,Italy
Nobutada Saji,$1.30 ,70,Male,beverages,Japan
Soichiro Fukutake,$1.10 ,70,Male,education,Japan
Dik Wessels,$2.30 ,70,Male,"construction, engineering",Netherlands
Eduardo Belmont Anderson,$1.30 ,70,Male,cosmetics,Peru
Megdet Rahimkulov,$1.30 ,70,Male,investments,Russia
Mohammed Al Amoudi,$8.70 ,70,Male,"oil, diversified",Saudi Arabia
Alberto Cortina,$1 ,70,Male,investments,Spain
Michael Pieper,$4.90 ,70,Male,kitchen appliances,Switzerland
Thomas Schmidheiny,$4.30 ,70,Male,cement,Switzerland
Rudolf Maag,$1.80 ,70,Male,medical devices,Switzerland
Krit Ratanarak,$3.30 ,70,Male,"media, real estate",Thailand
Anthony Bamford,$2.40 ,70,Male,construction equipment,United Kingdom
Michael Ashcroft,$1.50 ,70,Male,security,United Kingdom
Mohammed Ibrahim,$1.10 ,70,Male,communications,United Kingdom
Harold Hamm,$13.20 ,70,Male,oil & gas,United States
Donald Trump,$4.50 ,70,Male,"television, real estate",United States
Steven Udvar-Hazy,$3.50 ,70,Male,aircraft leasing,United States
Michael Milken,$3.50 ,70,Male,investments,United States
Bennett Dorrance,$3 ,70,Male,Campbell Soup,United States
C. Dean Metropoulos,$2.50 ,70,Male,investments,United States
Daniel D'Aniello,$2.40 ,70,Male,private equity,United States
Stewart Rahr,$2.20 ,70,Male,drug distribution,United States
Arturo Moreno,$2.10 ,70,Male,billboards,United States
Howard Marks,$1.90 ,70,Male,private equity,United States
Victor Fung,$1.50 ,70,Male,trading company,United States
David Booth,$1.50 ,70,Male,mutual funds,United States
William Berkley,$1.30 ,70,Male,insurance,United States
Bob Ell,$1.60 ,71,Male,property,Australia
Lang Walker,$1.20 ,71,Male,property,Australia
Solomon Lew,$1.10 ,71,Male,retail,Australia
Jorge Moll Filho,$3.70 ,71,Male,hospitals,Brazil
Robert Miller,$2.60 ,71,Male,electronics components,Canada
Lu Guanqiu,$6.10 ,71,Male,conglomerate,China
Xu Jingren,$2.40 ,71,Male,pharmaceuticals,China
John Fredriksen,$8.90 ,71,Male,shipping,Cyprus
Youssef Mansour,$1.70 ,71,Male,diversified,Egypt
Horst Julius Pudwill,$1.50 ,71,Male,manufacturing,Germany
Azim Premji,$14.90 ,71,Male,software services,India
Shiv Nadar,$11.40 ,71,Male,software services,India
Abhay Firodia,$1.70 ,71,Male,automobiles,India
Mofatraj Munot,$1.70 ,71,Male,real estate,India
Radhe Shyam Agarwal,$1.50 ,71,Male,consumer goods,India
Arnon Milchan,$5.30 ,71,Male,movie making,Israel
Massimo Moratti,$1.30 ,71,Male,oil refinery,Italy
Piero Ferrari,$1.30 ,71,Male,automobiles,Italy
Takemitsu Takizaki,$10.90 ,71,Male,sensors,Japan
Katsumi Tada,$1.70 ,71,Male,real estate,Japan
Taha Mikati,$2.50 ,71,Male,telecom,Lebanon
Robert Mouawad,$1.50 ,71,Male,fine jewelry,Lebanon
Ezra Nahmad,$1.50 ,71,Male,art,Monaco
Kwee family,$5.20 ,71,Male,Pontiac Land Group,Singapore
Nicky Oppenheimer,$6.70 ,71,Male,diamonds,South Africa
Koo Bon-Moo,$1.70 ,71,Male,electronics/chemicals/household products,South Korea
Martin Ebner,$1.50 ,71,Male,investments,Switzerland
S. Robson Walton,$34.90 ,71,Male,Wal-Mart,United States
Thomas Peterffy,$12.60 ,71,Male,discount brokerage,United States
Richard Kinder,$7 ,71,Male,pipelines,United States
Richard LeFrak,$6.60 ,71,Male,real estate,United States
Bruce Kovner,$5.30 ,71,Male,hedge funds,United States
Jack & Laura Dangermond,$3.20 ,71,Male,mapping software,United States
Haim Saban,$2.90 ,71,Male,"TV network, investments",United States
Paul Singer,$2.20 ,71,Male,hedge funds,United States
James France,$2 ,71,Male,"Nascar, racing",United States
Edward Bass,$1.80 ,71,Male,"oil, investments",United States
James Leininger,$1.30 ,71,Male,medical products,United States
Vincent McMahon,$1.20 ,71,Male,wrestling,United States
William Macaulay,$1 ,71,Male,energy investments,United States
Gustavo Cisneros,$2 ,71,Male,media,Venezuela
Issad Rebrab,$3.30 ,72,Male,food,Algeria
Dietrich Mateschitz,$14.50 ,72,Male,Red Bull,Austria
Edson de Godoy Bueno,$2.90 ,72,Male,"hospitals, health care",Brazil
Patricia Matte,$2.10 ,72,Male,paper,Chile
Ren Zhengfei,$2.10 ,72,Male,telecom equipment,China
Wang Zhenghua,$1.40 ,72,Male,budget airline,China
Hasso Plattner,$11.10 ,72,Male,software,Germany
Bernard Broermann,$4.70 ,72,Male,hospitals,Germany
Michael Herz,$4 ,72,Male,coffee,Germany
August Oetker,$2.20 ,72,Male,consumer goods,Germany
Peter Unger,$2 ,72,Male,auto repair,Germany
Karsanbhai Patel,$2.20 ,72,Male,consumer goods,India
Theodore Rachmat,$1.60 ,72,Male,diversified,Indonesia
"John Dorrance, III.",$2.70 ,72,Male,Campbell Soup,Ireland
Carlo Benetton,$2.80 ,72,Male,"clothing, investments",Italy
Shigenobu Nagamori,$3.20 ,72,Male,motors,Japan
Akio Nitori,$3 ,72,Male,retail,Japan
Alfredo Harp Helu,$1.30 ,72,Male,banking,Mexico
Kommer Damen,$2 ,72,Male,shipbuilding,Netherlands
Jason Chang,$2.70 ,72,Male,electronics,Singapore
Lim Oon Kuin,$1.80 ,72,Male,oil trading,Singapore
Manuel Lao Hernandez,$2.30 ,72,Male,gambling,Spain
Chao Teng-Hsiung,$1.50 ,72,Male,real estate,Taiwan
Charoen Sirivadhanabhakdi,$15 ,72,Male,beverages,Thailand
Husnu Ozyegin,$2.60 ,72,Male,"finance, diversified",Turkey
Ahmet Nazif Zorlu,$1.40 ,72,Male,diversified,Turkey
Mustafa Latif Topbas,$1.10 ,72,Male,Food Manufacturing and Retail,Turkey
Larry Ellison,$50.80 ,72,Male,Oracle,United States
George Lucas,$4.60 ,72,Male,Star Wars,United States
Henry Kravis,$4.60 ,72,Male,private equity,United States
Frederick Smith,$3.70 ,72,Male,FedEx,United States
Ronald Lauder,$3.20 ,72,Male,Estee Lauder,United States
Kieu Hoang,$3.10 ,72,Male,pharmaceuticals,United States
John Paul DeJoria,$3.10 ,72,Male,"hair products, tequila",United States
Gary Rollins,$2.70 ,72,Male,pest control,United States
Robert Duggan,$2.60 ,72,Male,pharmaceuticals,United States
Ty Warner,$2.40 ,72,Male,"real estate, plush toys",United States
Bill Gross,$2.40 ,72,Male,investments,United States
Gerald Ford,$2.10 ,72,Male,banking,United States
Thomas Lee,$2.10 ,72,Male,leveraged buyouts,United States
James Clark,$1.90 ,72,Male,"Netscape, investments",United States
"Nicholas Pritzker, II.",$1.40 ,72,Male,"hotels, investments",United States
Ted Alfond,$1.20 ,72,Male,shoes,United States
Paul Fireman,$1 ,72,Male,Reebok,United States
Antonio Luiz Seabra,$1.40 ,73,Male,cosmetics,Brazil
Brandt Louie,$1.60 ,73,Male,drug store chain,Canada
Jean Pierre Cayard,$3 ,73,Male,spirits,France
Nicolas Puech,$2.50 ,73,Male,Hermes,France
Michael Otto,$17.10 ,73,Male,"retail, real estate",Germany
Ye Chenghai,$3.20 ,73,Male,pharmaceuticals,Hong Kong
Albert Yeung,$1.40 ,73,Male,"real estate, retail",Hong Kong
Ashwin Dani,$3.30 ,73,Male,paints,India
Habil Khorakiwala,$1.20 ,73,Male,pharmaceuticals,India
Francesco Gaetano Caltagirone,$1.70 ,73,Male,"cement, diversified",Italy
Kazuo Okada,$1.90 ,73,Male,casinos,Japan
Alberto Alcocer,$1.20 ,73,Male,investments,Spain
Antonia Johnson,$5.90 ,73,Male,diversified,Sweden
Walter Frey,$1.30 ,73,Male,Emil Frey Group,Switzerland
David & Simon Reuben,$11.90 ,73,Male,"investments, real estate",United Kingdom
John Bloor,$1 ,73,Male,"real estate, manufacturing",United Kingdom
Ronald Perelman,$12.20 ,73,Male,leveraged buyouts,United States
James Goodnight,$8.70 ,73,Male,software,United States
David Geffen,$6.70 ,73,Male,entertainment,United States
Jim Davis,$5.10 ,73,Male,New Balance,United States
Jerry Jones,$5 ,73,Male,Dallas Cowboys,United States
Ray Lee Hunt,$4.70 ,73,Male,"oil, real estate",United States
George Roberts,$4.50 ,73,Male,private equity,United States
Igor Olenicoff,$3.70 ,73,Male,real estate,United States
Isaac Perlmutter,$3.60 ,73,Male,Marvel comics,United States
Leon G. Cooperman,$3.20 ,73,Male,hedge funds,United States
Arthur Blank,$3.10 ,73,Male,Home Depot,United States
Don Hankey,$2.50 ,73,Male,auto loans,United States
David Bonderman,$2.50 ,73,Male,private equity,United States
Ron Baron,$2.10 ,73,Male,money management,United States
John Kapoor,$2 ,73,Male,healthcare,United States
Leslie Alexander,$1.90 ,73,Male,Houston Rockets,United States
"Richard Yuengling, Jr.",$1.80 ,73,Male,beer,United States
Sid Bass,$1.80 ,73,Male,"oil, investments",United States
Christopher Goldsbury,$1.60 ,73,Male,salsa,United States
Charles Brandes,$1.20 ,73,Male,money management,United States
Jack Cowin,$1.90 ,74,Male,fast food,Australia
Bernard (Barry) Sherman,$5.30 ,74,Male,pharmaceuticals,Canada
Gerald Schwartz,$1.90 ,74,Male,finance,Canada
He Xiangjian,$11.20 ,74,Male,home appliances,China
Patrick Lee,$3.30 ,74,Male,paper,Hong Kong
Tung Chee Chen,$1.50 ,74,Male,shipping,Hong Kong
Vikram Lal,$4.90 ,74,Male,motorcycles,India
B.R. Shetty,$2.60 ,74,Male,healthcare,India
Adi Godrej,$2.50 ,74,Male,consumer goods,India
Roberto Hernandez Ramirez,$1.80 ,74,Male,banking,Mexico
Joop van den Ende,$1 ,74,Male,TV,Netherlands
Lee Kun-Hee,$13.50 ,74,Male,Samsung,South Korea
Juan Abello,$2 ,74,Male,investments,Spain
John Whittaker,$2.60 ,74,Male,real estate,United Kingdom
Ian Wood,$1.50 ,74,Male,energy services,United Kingdom
Michael Bloomberg,$49 ,74,Male,Bloomberg LP,United States
George Kaiser,$7.20 ,74,Male,"oil & gas, banking",United States
David Green,$6.10 ,74,Male,retail,United States
Sam Zell,$4.70 ,74,Male,"real estate, private equity",United States
Harry Stine,$3.20 ,74,Male,agriculture,United States
Tom Golisano,$2.80 ,74,Male,payroll services,United States
Peter Kellogg,$2.80 ,74,Male,investments,United States
Barry Diller,$2.70 ,74,Male,online media,United States
Steve Wynn,$2.60 ,74,Male,"casinos, hotels",United States
Ray Davis,$2.40 ,74,Male,pipelines,United States
Mario Gabelli,$1.50 ,74,Male,money management,United States
William F. Austin,$1.40 ,74,Male,hearing aids,United States
Nelson Peltz,$1.40 ,74,Male,investments,United States
Herb Chambers,$1.30 ,74,Male,car dealerships,United States
Steven Roth,$1.10 ,74,Male,real estate,United States
Galen Weston,$9.50 ,75,Male,retail,Canada
Chan Laiwa,$5.30 ,75,Male,real estate,China
Marc Ladreit de Lacharriere,$2.90 ,75,Male,finance,France
Heinz Hermann Thiele,$13.70 ,75,Male,brakes,Germany
Wolfgang Marguerre,$6.30 ,75,Male,pharmaceuticals,Germany
Hans Peter Wild,$4.70 ,75,Male,flavorings,Germany
Horst Wortmann,$1.20 ,75,Male,footwear,Germany
Michael Kadoorie,$6.60 ,75,Male,"hotels, energy",Hong Kong
Cyrus Poonawalla,$8.40 ,75,Male,vaccines,India
Chandru Raheja,$2.40 ,75,Male,real estate,India
R. Budi Hartono,$8.90 ,75,Male,"banking, tobacco",Indonesia
Murdaya Poo,$2.10 ,75,Male,diversified,Indonesia
Stefano Pessina,$13.70 ,75,Male,drugstores,Italy
Gilberto Benetton,$2.80 ,75,Male,"clothing, investments",Italy
Alberto Bombassei,$2.30 ,75,Male,automotive brakes,Italy
Nicola Bulgari,$1.20 ,75,Male,luxury goods,Italy
Kagemasa Kozuki,$1.10 ,75,Male,video games,Japan
Quek Leng Chan,$5.40 ,75,Male,"banking, real estate",Malaysia
"Carolus Nolet, Sr.",$2.60 ,75,Male,Ketel One vodka,Netherlands
Saleh Kamel,$2 ,75,Male,"banking, healthcare",Saudi Arabia
Kwek Leng Beng,$3.40 ,75,Male,real estate,Singapore
Christoffel Wiese,$6.40 ,75,Male,retailing,South Africa
Lee Joong-Keun,$2.40 ,75,Male,construction,South Korea
Manuel Jove,$1.90 ,75,Male,real estate,Spain
Bertil Hult,$4 ,75,Male,education,Sweden
Beda Diethelm,$1.10 ,75,Male,hearing aids,Switzerland
John Malone,$7.10 ,75,Male,cable television,United States
David Duffield,$6.60 ,75,Male,business software,United States
John Tu,$5.20 ,75,Male,computer hardware,United States
Robert Kraft,$5.20 ,75,Male,New England Patriots,United States
"Rupert Johnson, Jr.",$4.30 ,75,Male,money management,United States
"Robert Rich, Jr.",$3.90 ,75,Male,frozen foods,United States
Clayton Mathile,$3.70 ,75,Male,pet food,United States
Richard Schulze,$2.80 ,75,Male,Best Buy,United States
William Young,$2.10 ,75,Male,plastics,United States
Ronald Wanek,$2.10 ,75,Male,furniture,United States
Glen Taylor,$1.90 ,75,Male,printing,United States
J. Joe Ricketts,$1.40 ,75,Male,TD Ameritrade,United States
Donald Friese,$1.10 ,75,Male,manufacturing,United States
Michael Steinhardt,$1.10 ,75,Male,finance,United States
George Marcus,$1 ,75,Male,real estate,United States
Gerry Harvey,$1.70 ,76,Male,retail,Australia
Kerry Stokes,$1.50 ,76,Male,"media, mining",Australia
Helmut Sohmen,$2.30 ,76,Male,shipping,Austria
Jose Isaac Peres & wife,$1.30 ,76,Male,shopping malls,Brazil
Antti Aarnio-Wihuri,$1 ,76,Male,Diversified,Finland
Dieter Schwarz,$18.50 ,76,Male,retail,Germany
Dietmar Hopp,$8.90 ,76,Male,software,Germany
Guenther Fielmann,$5.60 ,76,Male,optometry,Germany
Theo Mueller,$5.10 ,76,Male,dairy,Germany
Guenter Herz & Family,$2.80 ,76,Male,coffee,Germany
Hubert Burda,$2.20 ,76,Male,publishing,Germany
Willibert Krueger,$1.60 ,76,Male,food processing,Germany
Hans-Werner Hector,$1.40 ,76,Male,SAP,Germany
Michael Hartono,$8.80 ,76,Male,"tobacco, banking",Indonesia
Ennio Doris,$2.10 ,76,Male,financial services,Italy
Carlos Slim Helu,$49.60 ,76,Male,telecom,Mexico
Lim Sung-Ki,$3.70 ,76,Male,Pharma,South Korea
David Koch,$42.10 ,76,Male,diversified,United States
Jacqueline Mars,$26.20 ,76,Male,candy,United States
Philip Anschutz,$10.90 ,76,Male,investments,United States
"John Menard, Jr.",$9.50 ,76,Male,retail,United States
Stephen Ross,$7.40 ,76,Male,real estate,United States
Ralph Lauren,$5.90 ,76,Male,Ralph Lauren,United States
"Jeremy Jacobs, Sr.",$4 ,76,Male,sports concessions,United States
Jerry Speyer,$3.70 ,76,Male,real estate,United States
"Herbert Allen, Jr.",$1.50 ,76,Male,investment banking,United States
Jim Thompson,$1.50 ,76,Male,logistics,United States
Darwin Deason,$1.30 ,76,Male,Xerox,United States
William Koch,$1.20 ,76,Male,"oil, investments",United States
Jorge Paulo Lemann,$31.30 ,77,Male,beer,Brazil
Joseph Safra,$17.70 ,77,Male,banking,Brazil
Aldo Bensadoun,$1.10 ,77,Male,shoes,Canada
Michel Leclercq,$3.70 ,77,Male,sporting goods,France
Jean Burelle,$1.30 ,77,Male,automotive systems,France
